STT,Sản phẩm,Kết quả,Thời gian
21,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 10 viên (chỉ thấy 0/10 viên) | Dị vật: 1 chỗ - Vỉ chuẩn: 10 viên | Phát hiện: 0 viên,   • Vỉ bị cắt: thiếu 10 viên (chỉ thấy 0/10 viên),   • Dị vật: 1 chỗ",2026-04-29 23:22:45
22,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên) | Dị vật: 1 chỗ - Vỉ chuẩn: 10 viên | Phát hiện: 1 viên,   • Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên),   • Dị vật: 1 chỗ",2026-04-29 23:23:11
23,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 6 viên (chỉ thấy 4/10 viên) | Thiếu viên trong ô: 3 ô | Dị vật: 1 chỗ - Vỉ chuẩn: 10 viên | Phát hiện: 4 viên,   • Vỉ bị cắt: thiếu 6 viên (chỉ thấy 4/10 viên),   • Thiếu viên trong ô: 3 ô,   • Dị vật: 1 chỗ",2026-04-29 23:23:38
24,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 6 viên (chỉ thấy 4/10 viên) | Thiếu viên trong ô: 3 ô | Dị vật: 2 chỗ - Vỉ chuẩn: 10 viên | Phát hiện: 4 viên,   • Vỉ bị cắt: thiếu 6 viên (chỉ thấy 4/10 viên),   • Thiếu viên trong ô: 3 ô,   • Dị vật: 2 chỗ",2026-04-29 23:24:32
25,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 10 viên (chỉ thấy 0/10 viên) | Dị vật: 1 chỗ - Vỉ chuẩn: 10 viên | Phát hiện: 0 viên,   • Vỉ bị cắt: thiếu 10 viên (chỉ thấy 0/10 viên),   • Dị vật: 1 chỗ",2026-04-29 23:24:52
1,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-30 12:17:36
2,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",2026-04-30 12:17:56
3,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-30 12:18:22
4,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",2026-04-30 12:18:34
5,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-30 12:18:46
6,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-30 12:19:04
7,Viên rời,"[OK] SẢN PHẨM OK - OK: 2, Lỗi: 0 ()",2026-04-30 12:19:19
8,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (di vat)",2026-04-30 12:21:37
9,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",2026-04-30 12:21:58
1,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-30 20:35:44
2,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",2026-04-30 20:36:12
